,District,Latitude,Longitude
534,Churu,28.29330376,74.65846427
535,Dausa,26.91234818,76.57342097
536,Dholpur,26.7010642,77.896749
537,Dungarpur,23.75104808,73.84765641
538,Hanumangarh,29.18133518,74.74632573
539,Jaipur,27.03345929,75.77117286
540,Jaipur,27.03345929,75.77117286
541,Jaisalmer,26.86900839,71.18371877
542,Jalore,25.3476006,72.6260916
543,Jhalawar,24.24725541,76.11242892
544,Jhunjhunu,28.1287995,75.3992581
545,Jodhpur,26.67846084,73.00450847
546,Karauli,26.51901556,76.96081818
547,Kota,25.17571808,76.18618928
548,Nagaur,27.07862016,74.14215667
549,Pali,25.80490394,73.55285641
550,Pratapgarh,25.86484273,81.93530049
551,Rajsamand,25.24894767,73.96570216
552,Sawai Madhopur,26.25108118,76.42192839
553,Sikar,27.64644059,75.29317423
554,Sirohi,24.79769053,72.75309132
555,Ganganagar,29.25678541,73.56192303
556,Tonk,26.15393507,75.79192216
557,Udaipur,24.44076752,73.8402984
558,East Sikkim,27.601029,88.45413639
559,North Sikkim,27.81381005,88.54200565
560,South Sikkim,27.27802162,88.37538595
561,West Sikkim,27.3359816,88.158012
562,Pudukkottai,10.13051482,79.05444484
563,Ariyalur,11.19051484,79.22249644
564,Salem,11.6293242,78.2478258
565,Chengalpattu,12.6840886,79.9836371
566,Chennai,13.05809891,80.28139152
567,Tiruvannamalai,12.41931895,79.23265632
568,Coimbatore,10.871377,77.07619012
569,Cuddalore,11.57587301,79.63002365
570,Dharmapuri,12.3001412,78.11509813
571,Dindigul,10.37780139,77.7801128
572,Erode,11.26701216,77.42034335
573,Kallakurichi,11.7406259,78.9637131
574,Kancheepuram,12.49642476,80.0882036
575,Kanyakumari,8.079252,77.5499338
576,Karur,10.79532777,78.08749687
577,Thoothukkudi,8.7567452,78.07975266
578,Krishnagiri,12.5188835,78.2206536
579,Madurai,9.904313833,78.01366033
580,Nagapattinam,10.78946816,79.79437299
581,Namakkal,11.33766638,78.14624841
582,Nilgiris,11.44236166,76.66146422
583,Dindigul,10.37780139,77.7801128
584,Ramanathapuram,9.312869952,78.99185362
585,Perambalur,11.26013776,78.86034012
586,Thiruvallur,13.2758581,80.19724703
587,Pudukkottai,10.13051482,79.05444484
588,Ramanathapuram,9.312869952,78.99185362
589,Ranipet,12.9272641,79.3330076
590,Salem,11.6293242,78.2478258
591,Sivaganga,9.960306581,78.56535729
592,Virudhunagar,9.468872196,77.87641469
593,Tenkasi,9.0318958,77.36536125
594,Thanjavur,10.38769226,79.31948691
595,Theni,9.924066667,77.43458833
596,Thoothukkudi,8.7567452,78.07975266
597,Tiruchirappalli,10.804973,78.6870296
598,Tirunelveli,8.7012203,77.5792694
599,Tirupathur,12.4533064,78.55290857
600,Tiruppur,11.1017815,77.345192
601,Thiruvallur,13.2758581,80.19724703
602,Tiruvannamalai,12.41931895,79.23265632
603,Thiruvarur,10.36892741,79.60322894
604,Vellore,12.78488263,79.02643284
605,Viluppuram,11.9137874,79.50789298
606,Virudhunagar,9.468872196,77.87641469
607,Adilabad,19.28451395,78.81321233
608,Bhadradri Kothagudem,17.71534525,80.57149762
609,Hyderabad,17.38971556,78.46668889
610,Jagtial,18.82135895,78.91506633
611,Jangaon,17.7465843,79.24072183
612,Jayashankar Bhupalapally,18.5159872,79.9693966
613,Jogulamba Gadwal,16.0999202,77.73415835
614,Kamareddy,18.316551,78.05393808
615,Karimnagar,18.51548319,79.43765429
616,Khammam,17.68392133,80.67008644
617,Komaram Bheem,17.53073675,78.3911827
618,Mahabubabad,17.7138983,80.04134253
619,Mahabubnagar,16.69656855,77.95911462
620,Mancherial,18.8761795,79.4449696
621,Medak,17.88930498,78.13778902
622,Medchal Malkajgiri,17.53498345,78.52463874
623,Mulugu,18.1932372,79.9413676
624,Nagarkurnool,16.41576265,78.68304333
625,Nalgonda,17.11325052,79.16984454
626,Narayanpet,16.70055175,77.61648447
627,Nirmal,19.09152095,78.39660898
628,Nizamabad,18.42948585,78.07523491
629,Peddapalli,18.62065305,79.49501711
630,Rajanna Sircilla,18.452116,78.76455837
631,Ranga Reddy,12.9554461,80.2530374
632,Sangareddy,17.86859205,77.82281995
633,Siddipet,18.0055851,78.89611305
634,Suryapet,17.08001385,79.79253297
635,Vikarabad,17.2702855,77.74529701
636,Wanaparthy,16.2852944,77.98644727
637,Warangal Rural,17.94854255,79.81612399
638,Warangal Urban,18.02625695,79.46444494
639,Yadadri Bhuvanagiri,17.42819665,79.09049098
640,Dhalai,23.78136048,91.94654283
641,Gomati,23.4613369,91.60718004
642,Khowai,24.04673835,91.62320954
643,North Tripura,24.12173976,92.17842538
644,Sipahijala,23.6148,91.3276
645,South Tripura,23.2118741,91.60658076
646,Unokoti,24.19098485,92.04604831
647,West Tripura,23.78016624,91.41310789
648,Agra,26.99512975,78.05278292
649,Aligarh,27.93748577,78.00146831
650,Ambedkar Nagar,26.39119026,82.68282143
651,Amethi,26.34738315,81.62387832
652,Amroha,28.9233969,78.48831693
653,Auraiya,26.66892394,79.42637057
654,Ayodhya,26.7990707,82.2052321
655,Azamgarh,26.00829095,83.01220251
656,Budaun,28.06831165,79.04607312
657,Baghpat,29.0457935,77.302663
658,Bahraich,27.6917763,81.46779783
659,Balrampur,27.44907654,82.47158326
660,Ballia,25.86075638,84.03651979
661,Banda,25.3518859,80.52487391
662,Barabanki,26.93823105,81.38609761
663,Bareilly,28.51101941,79.43187072
664,Basti,26.83388045,82.69790591
665,Bhadohi,25.42292275,82.48843708
666,Bijnor,29.31397426,78.45098815
667,Bulandshahr,28.34875862,78.01082759
668,Chandauli,25.11808596,83.25307063
669,Chitrakoot,25.15992462,81.07666088
670,Deoria,26.42218857,83.82440707
671,Etah,27.59115531,78.70021858
672,Etawah,26.7881767,79.07621806
673,Farrukhabad,27.45063298,79.44062846
674,Fatehpur,25.8374362,80.85416203
675,Firozabad,27.20963993,78.42660625
676,Gautam Buddha Nagar,28.39331104,77.52462468
677,Ghaziabad,28.74997309,77.67441879
678,Ghazipur,25.62472478,83.53608546
679,Gonda,27.15721555,82.0226888
680,Gorakhpur,26.63315887,83.35495604
681,Hamirpur,31.67668481,76.49767089
682,Hamirpur,25.73815838,79.8261948
683,Hapur,28.7406125,77.83542557
